feature,abs_correlation
tin_k,0.9972637902160325
tin_c,0.9972461529569989
effi_forced,0.9751391310618203
time_minutes,0.9623034983485078
tank_c,0.9333094335892089
ambient_c,0.8824465974474507
ambient_k,0.872252990059474
tout_pred,0.8429559868358465
tout_c,0.8310226264548606
tout_k,0.8302530263820619
plate_c,0.758765010086876
plate_k,0.7579733910932646
mass_flow_kg_s,0.7377524186359821
water_liters_step,0.7377524186359818
pin_kpa,0.7320693819314744
fr,0.6792792372433153
effi_thermosy,0.632401437812121
c,0.49573069036256523
ub_w_m2k,0.09110063967474259
pout_kpa,0.08740823364944679
xb,0.06732337181291571
alpha,0.06084117533048338
ac,0.05683261100709119
tau,0.0560372449696658
beta_deg,0.048544207221468
n,0.03541694534807526
ue_w_m2k,0.029962139798907897
irradiance_w_m2,0.02300933359699475
cp,0.019144621498307913
v,0.017837467613283725
ha,0.017428851766573987
ae,0.016100985558998818
f,0.014548532161888542
kb,0.007445300021367007
