feature,abs_correlation,rank
tin_k,0.9972637902160325,1
tin_c,0.9972461529569989,2
effi_forced,0.9751391310618203,3
time_minutes,0.9623034983485078,4
tank_c,0.9333094335892089,5
ambient_c,0.8824465974474507,6
