feature,mean_abs_shap,mean_shap,label,abs_correlation
time_minutes,6.580823520512958,0.5211973490688191,Stage 2,0.9623034983485078
tin_c,3.1897973520657024,0.2156805666432108,Stage 2,0.9972461529569989
tin_k,2.7514511111890423,0.18643211291882925,Stage 2,0.9972637902160325
effi_forced,2.1222283344181685,0.1734504012488722,Stage 2,0.9751391310618203
tank_c,1.6451054699399728,0.15418422335186524,Stage 2,0.9333094335892089
ambient_c,0.20486271257469232,0.013045589180125137,Stage 2,0.8824465974474507
